lncRNA	Chromosome	Start	End
AC061975.8	chr17	28204616	28223735
AC061979.1	chr11	1218530	1220242
AC061992.2	chr17	78360453	78373911
AC062004.1	chr8	77399072	77537290
AC062015.1	chr2	226180044	226185371
AC062020.1	chr2	123065321	123067722
AC062021.1	chr2	139366165	139379147
AC062022.2	chr2	161577192	161625752
AC062028.1	chr2	11105317	11132821
AC062029.1	chr2	88690177	88691464
AC062032.1	chr2	146879909	146898218
AC062037.3	chr2	85387074	85387146
AC062037.4	chr2	85418504	85426724
AC062039.1	chr2	192629919	192645706
AC063919.1	chr3	126288123	126301213
AC063919.2	chr3	126312385	126323406
AC063923.2	chr3	109176438	109177365
AC063926.1	chr12	130419535	130421019
AC063938.1	chr3	102621061	102673986
AC063943.2	chr12	120500735	120501090
AC063944.1	chr3	107272611	107421338
AC063944.3	chr3	107329430	107329962
AC063947.1	chr12	101038420	101039094
AC063948.1	chr12	101408372	101409060
AC063949.2	chr12	92421531	92483680
AC063952.4	chr3	120365993	120368326
AC063960.1	chr10	122017982	122019160
AC063960.2	chr10	122145106	122155197
AC063962.1	chr10	74821610	74822130
AC063965.2	chr10	87878692	87880427
AC063976.1	chr5	132179234	132181128
AC063977.3	chr19	51251231	51271179
AC063977.6	chr19	51152923	51181966
AC063979.2	chr5	72687112	72771733
AC063980.1	chr5	136376348	136397042
AC064799.2	chr15	71332120	71352460
AC064801.1	chr18	62525919	62526325
AC064802.1	chr8	114282067	114295839
AC064805.1	chr17	74599840	74607229
AC064805.2	chr17	74670077	74677624
AC064807.1	chr8	51899268	51949874
AC064807.2	chr8	51961458	52022974
AC064807.3	chr8	51996210	52008355
AC064807.4	chr8	51950284	51950690
AC064829.1	chrY	8550518	8713825
AC064834.1	chr2	195451778	195515699
AC064836.2	chr2	202336739	202337200
AC064836.3	chr2	202374932	202375604
AC064836.4	chr2	202302122	202303614
AC064843.1	chr2	158847619	158870393
AC064852.1	chr2	232760146	232767949
AC064853.1	chr2	227616998	227617790
AC064856.1	chr2	117536387	117539464
AC064869.1	chr2	107698737	107746941
AC064871.3	chr2	183083405	183108519
AC064874.1	chr2	235773855	235783387
AC064875.1	chr2	12780593	13007029
AC066580.1	chr3	11060973	11091548
AC066585.1	chr3	7241916	7250209
AC066595.1	chr3	53348	54346
AC066595.2	chr3	123563	133500
AC066612.1	chr15	48187121	48191691
AC066612.2	chr15	48192191	48201684
AC066613.1	chr15	51455268	51460582
AC066613.2	chr15	51414097	51498833
AC066614.1	chr15	53419865	53453487
AC067747.1	chr10	17137336	17137585
AC067750.1	chr10	86749754	86756298
AC067751.1	chr10	62682652	62805887
AC067773.1	chr8	76403998	76405091
AC067817.1	chr8	38799643	38802296
AC067817.2	chr8	38844866	38846439
AC067838.1	chr8	33360839	33361415
AC067852.1	chr17	42536510	42562062
AC067852.2	chr17	42552436	42554748
AC067852.3	chr17	42509784	42511519
AC067852.5	chr17	42577825	42578366
AC067863.1	chr15	78625895	78628193
AC067930.1	chr8	143579636	143580670
AC067930.2	chr8	143632071	143633756
AC067930.3	chr8	143541973	143549729
AC067930.4	chr8	143573490	143577397
AC067930.8	chr8	143541648	143545128
AC067942.4	chr4	82612184	82615575
AC067945.2	chr2	191017954	191019079
AC067945.3	chr2	191021526	191032314
AC067945.4	chr2	191045458	191065345
AC067956.1	chr2	220450679	220741493
AC067960.1	chr2	121081437	121088726
AC067968.2	chr19	44023118	44025262
AC067969.1	chr19	38535517	38537128
AC067969.2	chr19	38526954	38528555
AC068014.1	chr17	82795486	82796095
AC068020.1	chr8	8188535	8189195
AC068025.1	chr17	29369717	29390777
AC068025.2	chr17	29352069	29404105
AC068051.1	chr2	214241676	214684246
AC068057.2	chr2	104702650	104705813
AC068057.4	chr2	104656135	104722966
AC068058.1	chr10	123913574	123931597
AC068075.1	chr8	57341021	57365444
AC068075.2	chr8	57420834	57423673
AC068112.1	chr18	68102087	68114878
AC068134.1	chr2	232379635	232381674
AC068134.2	chr2	232420661	232421461
AC068135.2	chr2	193898367	193899394
AC068189.1	chr8	95071732	95087924
AC068189.2	chr8	95039617	95042209
AC068193.1	chr2	58040211	58046700
AC068196.1	chr2	181076051	181105968
AC068205.1	chr11	43556436	43673393
AC068205.2	chr11	43578889	43840030
AC068228.2	chr8	123181638	123182788
AC068228.4	chr8	123157729	123165173
AC068234.2	chr17	47303460	47323613
AC068234.3	chr17	47279526	47280047
AC068254.1	chr18	69704978	69724975
AC068279.2	chr2	87311460	87348728
AC068282.1	chr2	127294212	127375075
AC068282.2	chr2	127406731	127408221
AC068286.1	chr2	14886647	14907664
AC068286.2	chr2	14705668	14992066
AC068295.1	chr3	187932764	187946221
AC068305.2	chr12	58920639	59064238
AC068308.1	chr3	181372732	181442597
AC068338.2	chr15	75368155	75369584
AC068338.3	chr15	75346744	75347161
AC068385.1	chr11	45905941	45906461
AC068389.1	chr8	60629662	60653561
AC068389.2	chr8	60660820	60664530
AC068389.3	chr8	60551957	60553036
AC068397.1	chr15	73255334	73256109
AC068397.2	chr15	73335260	73342387
AC068408.1	chr18	27375310	27401910
AC068408.2	chr18	27454466	27469673
AC068413.1	chr8	120913065	121119754
AC068418.1	chr17	21457434	21458989
AC068418.2	chr17	21456513	21460215
AC068418.3	chr17	21442805	21451525
AC068442.1	chr17	12596743	12632959
AC068446.2	chr15	21298233	21325241
AC068473.1	chr18	79638928	79679745
AC068473.2	chr18	79702721	79703651
AC068473.3	chr18	79576460	79589010
AC068473.4	chr18	79610747	79612303
AC068473.5	chr18	79677287	79679358
AC068481.1	chr2	7045329	7077916
AC068483.1	chr2	129063846	129071725
AC068489.1	chr2	221609324	221650218
AC068491.2	chr2	111265283	111279880
AC068491.3	chr2	111266868	111267473
AC068492.1	chr2	136077892	136078513
AC068506.1	chr18	34892013	34903504
AC068533.3	chr7	66119603	66165011
AC068535.1	chr2	104406471	104416720
AC068535.2	chr2	104423039	104429454
AC068544.2	chr2	196638422	196639497
AC068580.1	chr11	1763009	1763749
AC068580.2	chr11	1776930	1778388
AC068580.3	chr11	1760348	1762486
AC068580.5	chr11	1773745	1774903
AC068587.4	chr8	12467693	12665588
AC068594.1	chr17	77264180	77264776
AC068616.1	chr2	76691007	76692489
AC068616.2	chr2	76633365	76673346
AC068616.3	chr2	76684975	76698996
AC068620.1	chr4	56387625	56388153
AC068620.2	chr4	56396312	56396871
AC068631.1	chr3	186579476	186772986
AC068633.1	chr3	118004819	118810836
AC068633.2	chr3	118488876	118491760
AC068643.1	chr12	103079634	103178675
AC068643.2	chr12	103151834	103179247
AC068658.1	chr5	127838486	127857804
AC068672.1	chr8	31497423	31498612
AC068672.2	chr8	31275542	31390805
AC068672.3	chr8	31339197	31346479
AC068688.1	chr18	40245879	40247367
AC068700.1	chr8	78605952	78609705
AC068700.2	chr8	78626775	78665982
AC068707.1	chr10	43325833	43350792
AC068721.1	chr4	71821305	71823980
AC068722.1	chr15	45705078	45931069
AC068722.2	chr15	45702640	45703183
AC068724.2	chr15	43184079	43185141
AC068724.4	chr15	43106225	43185779
AC068724.5	chr15	43179793	43206481
AC068725.1	chr2	50324643	50345598
AC068726.1	chr15	56248787	56249127
AC068733.1	chr11	6362799	6365267
AC068733.3	chr11	6319140	6360454
AC068756.1	chr3	80761042	80788963
AC068759.1	chr3	173153737	173336965
AC068768.1	chr12	123262060	123262402
AC068774.1	chr12	31627575	31652095
AC068787.2	chr12	127486938	127533242
AC068787.3	chr12	127484243	127486675
AC068787.4	chr12	127451346	127455634
AC068787.5	chr12	127563908	127590930
AC068789.1	chr12	54543111	54544105
AC068790.2	chr12	123968023	123968579
AC068790.3	chr12	123966077	123966629
AC068790.4	chr12	123962555	123962817
AC068790.5	chr12	123969990	123970344
AC068790.6	chr12	123971457	123971714
AC068790.7	chr12	123960717	123961244
AC068790.8	chr12	123973215	124088594
AC068790.9	chr12	124085761	124088598
AC068792.1	chr12	31443792	31444208
AC068831.2	chr15	90952239	90955225
AC068831.5	chr15	90920218	90921186
AC068831.7	chr15	91022766	91023200
AC068858.1	chr11	45008266	45044053
AC068870.1	chr15	80990804	80993258
AC068870.2	chr15	80999593	80999981
AC068875.1	chr15	37364020	37490864
AC068880.2	chr8	19254241	19257334
AC068880.3	chr8	19246350	19249240
AC068888.1	chr12	53012884	53054450
AC068888.2	chr12	53012104	53013921
AC068898.1	chr10	48664199	48672424
AC068898.2	chr10	48624004	48625093
AC068931.1	chr8	31827238	31840709
AC068944.1	chr4	29046591	29048765
AC068946.3	chr2	219198640	219200034
AC068985.2	chr3	153881526	153940836
AC068987.1	chr12	51809705	51810600
AC068987.2	chr12	51815043	51842106
AC068987.3	chr12	51817899	51820150
AC068989.1	chr4	168170097	168194861
AC068993.2	chr12	78794132	78808995
AC069023.1	chr10	17862887	17865471
AC069029.1	chr15	98880659	98893535
AC069061.2	chr17	26989189	26999941
AC069079.1	chr10	51302566	51306709
AC069113.2	chr8	27904481	27910310
AC069114.1	chr18	71890409	71944577
AC069120.1	chr8	38543276	38560877
AC069133.1	chr8	63703077	63751677
AC069148.1	chr2	202032770	202033537
AC069155.1	chr2	216303325	216321737
AC069185.1	chr8	11797928	11802568
AC069200.3	chr4	55387949	55388271
AC069209.1	chr12	121190868	121191518
AC069209.2	chr12	121177919	121191477
AC069213.1	chr3	195544048	195550581
AC069214.1	chr12	120904702	120907937
AC069222.1	chr3	99802699	99806058
AC069224.2	chr3	160753428	160755142
AC069228.1	chr12	81378042	81556637
AC069234.1	chr12	120740470	120761592
AC069234.2	chr12	120697124	120699541
AC069234.3	chr12	120721507	120723639
AC069234.4	chr12	120709112	120709523
AC069234.5	chr12	120703867	120704282
AC069243.1	chr3	168094049	168095087
AC069257.2	chr3	196250542	196251654
AC069272.1	chr4	148146471	148208880
AC069277.1	chr3	6490460	6736750
AC069280.1	chr7	69187833	69189318
AC069280.2	chr7	69145185	69174450
AC069281.1	chr7	100509416	100520205
AC069281.2	chr7	100572232	100578700
AC069285.2	chr7	63044827	63054431
AC069287.1	chr11	112967	125927
AC069287.2	chr11	203623	205470
AC069287.3	chr11	129279	186136
AC069294.1	chr7	99766543	99766892
AC069307.1	chr4	56960927	56961373
AC069360.1	chr11	10884158	10899364
AC069366.2	chr17	27465112	27465541
AC069368.2	chr15	64878428	64882385
AC069404.1	chr2	73305941	73307890
AC069410.1	chr3	148368384	148591927
AC069421.2	chr3	193770543	193772424
AC069421.3	chr3	193771874	193782758
AC069431.1	chr3	182783236	182793394
AC069437.1	chr12	98931682	98976656
AC069439.2	chr3	166835021	166844956
AC069444.1	chr3	119744139	119750350
AC069503.1	chr12	122007434	122020063
AC069503.3	chr12	121874193	121874337
AC069503.5	chr12	121887540	121888643
AC069540.2	chr10	83708841	83724834
AC069542.1	chr10	17695709	17700232
AC069544.1	chr10	14877688	14878686
AC069547.2	chr10	50325697	50341585
AC069549.1	chr10	20070805	20091784
AC069549.2	chr10	20095125	20099664
AC072022.1	chr3	187702313	187733849
AC072026.2	chr3	120811530	120908093
AC072026.3	chr3	120833936	120871794
AC072028.1	chr3	142687982	142723881
AC072039.2	chr3	136087475	136087913
AC072054.1	chr7	4642248	4642570
AC072061.1	chr7	39947522	39949755
AC072062.1	chr2	215004782	215085488
AC073023.1	chr8	110334743	110349607
AC073046.1	chr2	73985132	73986343
AC073046.3	chr2	73834422	73856965
AC073046.4	chr2	73823154	73824593
AC073048.1	chr7	79657947	79675015
AC073050.1	chr2	167293171	167558333
AC073052.2	chr2	224464682	224474500
AC073062.1	chr2	13537673	13609168
AC073071.1	chr7	109521981	109597166
AC073073.2	chr7	105571083	105573660
AC073091.3	chr2	76185020	76399490
AC073091.4	chr2	76197855	76252927
AC073094.1	chr7	1267353	1269267
AC073111.1	chr7	150379854	150383885
AC073111.3	chr7	150379329	150410597
AC073114.1	chr7	110108031	110534757
AC073115.1	chr7	45990905	46000898
AC073115.2	chr7	45940449	45986472
AC073127.1	chr7	103030104	103031354
AC073130.1	chr7	116275606	116286734
AC073130.2	chr7	116237929	116327896
AC073140.2	chr7	148941483	148941638
AC073140.3	chr7	148940265	148941228
AC073167.1	chr15	63675146	63713758
AC073172.1	chr11	15571817	15622447
AC073174.1	chr10	52946431	52955585
AC073176.1	chr10	70929925	70932057
AC073176.2	chr10	70927055	71077810
AC073188.2	chr7	63393745	63422053
AC073188.3	chr7	63380466	63385789
AC073188.4	chr7	63388808	63393657
AC073188.5	chr7	63394277	63395439
AC073188.6	chr7	63396341	63399250
AC073195.2	chr2	9555899	9556775
AC073210.3	chr7	64947571	64950701
AC073218.1	chr2	34692290	34703606
AC073225.1	chr2	155525424	155664668
AC073236.1	chr7	153395484	153396921
AC073254.1	chr2	232580948	232611971
AC073257.1	chr2	120552481	120558119
AC073257.2	chr2	120542905	120545249
AC073263.1	chr2	74123965	74135640
AC073263.2	chr2	74196698	74198560
AC073270.1	chr7	64294516	64300818
AC073270.2	chr7	64369241	64375584
AC073283.1	chr2	47067822	47071204
AC073283.2	chr2	47225781	47240886
AC073288.1	chr3	170345678	170353961
AC073288.2	chr3	170410512	170418615
AC073311.1	chr7	123069249	123103589
AC073314.1	chr7	149422675	149424890
AC073316.1	chr7	3140234	3174654
AC073316.2	chr7	3196626	3198256
AC073316.3	chr7	3264032	3302452
AC073320.2	chr7	129953234	130026989
AC073321.1	chr2	216594359	216611206
AC073323.1	chr7	123456629	123459856
AC073325.1	chr7	45460712	45542182
AC073326.1	chr7	110724159	110725825
AC073326.2	chr7	110590082	110592204
AC073332.1	chr7	16970320	17299368
AC073333.1	chr7	16695871	16719898
AC073336.1	chr7	154838388	154865483
AC073342.1	chr7	143255264	143287997
AC073342.2	chr7	143220468	143222267
AC073343.2	chr7	6663974	6708901
AC073346.1	chr7	113100663	113146330
AC073348.2	chr7	113486407	113494870
AC073349.1	chr7	64888527	64890100
AC073349.4	chr7	64801958	64804117
AC073349.5	chr7	64867427	64870076
AC073352.1	chr3	119497678	119498181
AC073352.2	chr3	119579212	119579650
AC073359.1	chr3	154969283	154970223
AC073359.2	chr3	154827016	154861017
AC073365.1	chr3	191425493	191591097
AC073367.1	chr10	16721352	16748377
AC073370.1	chr10	71878356	71879107
AC073389.1	chr10	73625996	73626790
AC073389.2	chr10	73653980	73675450
AC073389.3	chr10	73630556	73631490
AC073409.1	chr2	123443266	123444445
AC073409.2	chr2	123421486	123438693
AC073429.1	chr4	136125909	136138874
AC073429.2	chr4	136097797	136099240
AC073475.1	chr4	120066958	120564789
AC073476.3	chr2	231809846	231812352
AC073487.1	chr12	55761550	55762628
AC073508.3	chr17	40648300	40649718
AC073517.1	chr7	102426818	102434780
AC073525.1	chr12	75020969	75044793
AC073529.1	chrX	10847578	11111220
AC073530.1	chr12	66950754	67096410
AC073534.2	chr19	24146701	24147081
AC073539.1	chr19	22243254	22245347
AC073539.3	chr19	22259693	22261335
AC073548.2	chr19	47469910	47478550
AC073569.1	chr12	79823778	79825496
AC073569.2	chr12	79690144	79778451
AC073569.3	chr12	79818784	79819465
AC073571.1	chr12	78052181	78091737
AC073573.1	chr12	53159586	53161000
AC073575.3	chr12	112063909	112065755
AC073575.4	chr12	112018804	112019430
AC073578.1	chr12	131462853	131529894
AC073578.2	chr12	131447337	131455436
AC073578.5	chr12	131457018	131458324
AC073591.1	chr12	77379770	77390869
AC073592.1	chr12	124513222	124516798
AC073593.2	chr12	124786783	124808790
AC073611.1	chr12	53298655	53300314
AC073626.1	chr7	114414244	114419875
AC073632.1	chr2	122503366	122505118
AC073636.1	chr2	176830839	176849428
AC073641.1	chr2	223965701	223967706
AC073648.7	chr4	9076949	9092530
AC073651.1	chr12	15780068	15782120
AC073655.1	chr12	94272150	94277195
AC073655.2	chr12	94277758	94282844
AC073655.3	chr12	94260548	94262299
AC073657.1	chr15	41770756	41772732
AC073834.1	chr2	177603089	177618572
AC073840.1	chr4	83075957	83085600
AC073842.1	chr7	100130964	100140439
AC073842.2	chr7	100115214	100127139
AC073848.1	chr4	14134936	14143592
AC073862.1	chr12	130977562	130978768
AC073863.1	chr12	113932569	113937255
AC073864.1	chr12	117453012	117456986
AC073869.3	chr2	131461821	131463615
AC073869.5	chr2	131363364	131364881
AC073869.7	chr2	131303037	131355683
AC073878.1	chr7	141500079	141551304
AC073878.2	chr7	141512698	141513183
AC073896.2	chr12	56300076	56317992
AC073896.3	chr12	56308868	56309449
AC073896.4	chr12	56162359	56190284
AC073896.5	chr12	56267793	56270104
AC073912.2	chr12	130810606	130812438
AC073912.3	chr12	130810821	130812622
AC073934.1	chr7	127644685	127652012
AC073941.1	chr15	46693288	46804844
AC073957.1	chr7	1029025	1043891
AC073957.2	chr7	1055360	1059261
AC073957.3	chr7	879790	886547
AC073964.1	chr15	51064609	51069586
AC073968.2	chr7	45268681	45384802
AC073973.1	chr2	194587925	194612145
AC073987.1	chr2	103109759	103176260
AC074008.1	chr2	73469525	73471030
AC074008.2	chr2	73352610	73385677
AC074011.1	chr2	28633282	28664540
AC074024.1	chr7	79335780	79357594
AC074029.3	chr12	48152817	48153128
AC074031.1	chr12	80583683	80593701
AC074032.1	chr12	50112197	50165618
AC074035.1	chrX	4627200	4633572
AC074044.1	chr3	112990447	112991153
AC074050.2	chr16	31699676	31700465
AC074050.3	chr16	31709113	31711984
AC074050.4	chr16	31704728	31705260
AC074051.5	chr16	5103339	5235822
AC074052.2	chr16	8526549	8532013
AC074091.2	chr2	27583046	27635174
AC074096.1	chr2	29319554	29352214
AC074099.1	chr2	156305108	156320255
AC074117.1	chr2	27356246	27367622
AC074124.1	chr4	91319034	91325306
AC074131.1	chr5	89466537	89470039
AC074132.1	chr5	91132303	91142470
AC074135.1	chr19	23075201	23100361
AC074135.2	chr19	23068473	23071476
AC074138.1	chr19	36668102	36669404
AC074139.1	chr19	32127334	32184504
AC074183.1	chr7	84939349	84940245
AC074194.1	chr4	183987669	183996680
AC074212.1	chr19	45764785	45769806
AC074237.1	chr18	29278509	29361963
AC074254.1	chr4	171553000	171564267
AC074254.2	chr4	171494684	171525072
AC074257.2	chr7	151950386	151954985
AC074281.2	chrX	8897642	8927153
AC074286.1	chr2	176989418	177164656
AC074290.2	chr2	193867722	193868982
AC074325.1	chr10	48246525	48248512
AC074344.2	chr4	159398533	159401246
AC074351.1	chr7	54759348	54812727
AC074366.1	chr2	38668202	38671421
AC074386.1	chr7	144251264	144355707
AC074387.1	chr2	109758799	109760364
AC074389.1	chr7	1692810	1694357
AC074389.2	chr7	1620654	1621405
AC074389.3	chr7	1691906	1692450
AC076966.2	chr3	179101366	179147973
AC076968.1	chr12	53754358	53762104
AC076968.2	chr12	53739611	53898976
AC077690.1	chr3	7606890	7790482
AC078776.1	chr12	30320834	30321617
AC078777.1	chr12	67658991	67670919
AC078778.1	chr12	54276631	54345083
AC078785.1	chr3	113019468	113184377
AC078785.2	chr3	113050912	113063443
AC078788.1	chr3	153357107	153374186
AC078788.2	chr3	153376831	153377562
AC078789.1	chr12	62139999	62145643
AC078795.1	chr3	169777192	169780334
AC078795.2	chr3	169794962	169796213
AC078795.3	chr3	169793495	169793966
AC078802.1	chr3	169769649	169772043
AC078814.2	chr12	63004338	63006541
AC078816.1	chr3	151293317	151295494
AC078820.2	chr12	75694010	75698816
AC078820.3	chr12	75649195	75691937
AC078828.1	chr3	99500347	99505508
AC078842.2	chr7	137344930	137354483
AC078842.3	chr7	137318592	137326953
AC078845.1	chr7	136092913	136437785
AC078846.1	chr7	129604548	129611630
AC078850.1	chr4	128567972	128570531
AC078850.2	chr4	128582999	128601407
AC078851.1	chr2	139824896	139825877
AC078852.1	chr4	1358479	1359461
AC078852.2	chr4	1356581	1358075
AC078860.2	chr12	71587642	71594404
AC078860.3	chr12	71582293	71583852
AC078864.1	chr12	52092485	52104297
AC078865.1	chr12	52380460	52402407
AC078874.1	chr12	105236338	105243173
AC078878.2	chr12	126874804	126888718
AC078880.1	chr12	115263170	115270596
AC078880.2	chr12	115363012	115364745
AC078880.3	chr12	115299588	115300708
AC078880.4	chr12	115318657	115320405
AC078880.5	chr12	115332146	115332566
AC078881.1	chr4	177442519	177681381
AC078882.1	chr2	142131178	142137830
AC078883.1	chr2	172480840	172556596
AC078883.2	chr2	172427774	172428603
AC078889.1	chr12	66251745	66257434
AC078905.1	chr15	87038717	87047303
AC078906.1	chr8	72196334	72202269
AC078909.1	chr15	37099339	37100173
AC078909.2	chr15	37109587	37109984
AC078916.1	chr12	99985045	99985619
AC078922.1	chr12	69946543	69947081
AC078923.1	chr12	75563202	75984015
AC078925.1	chr12	131029110	131035487
AC078929.1	chr12	107093298	107123314
AC078942.1	chr7	158537495	158539879
AC078950.1	chr12	11399381	11486708
AC078955.1	chr12	81094371	81125863
AC078962.2	chr12	64628344	64629976
AC078962.3	chr12	64507166	64533638
AC078962.4	chr12	64654060	64655019
AC078962.5	chr12	64599078	64609459
AC078980.1	chr3	109648107	109810861
AC078983.1	chr12	67329014	67350924
AC078993.1	chrX	16152941	16170869
AC079015.1	chr8	138063268	138073240
AC079030.1	chr12	77129178	77163638
AC079031.1	chr12	132457160	132460024
AC079031.2	chr12	132462242	132462856
AC079035.1	chr12	62482349	62484932
AC079052.1	chr18	41341319	41507550
AC079054.1	chr8	6036433	6036974
AC079061.1	chr8	109644115	109648084
AC079070.1	chr18	73711329	73715490
AC079075.1	chr15	89704665	89705415
AC079089.1	chr8	69834111	69854971
AC079117.1	chr2	76893894	76897247
AC079140.6	chr4	307335	337433
AC079142.1	chrX	7928443	8374386
AC079145.1	chr2	19990209	20004795
AC079148.1	chr2	18547386	18548204
AC079148.2	chr2	18505729	18514332
AC079148.3	chr2	18403967	18504484
AC079154.1	chr2	124011984	124025173
AC079160.1	chr4	83796436	84299189
AC079163.1	chr2	145600907	145603423
AC079163.2	chr2	145572662	145765726
AC079171.1	chrX	13093660	13094573
AC079174.1	chr12	106245613	106246956
AC079174.2	chr12	106250759	106252786
AC079177.1	chrX	31411033	31413701
AC079193.2	chr8	17131181	17149789
AC079200.1	chr8	10275499	10279737
AC079203.2	chr15	34255286	34257832
AC079209.1	chr8	81149107	81165266
AC079209.2	chr8	81058523	81067744
AC079210.1	chr17	68557516	68582577
AC079226.1	chr4	182772565	182773931
AC079226.2	chr4	182697902	182708042
AC079248.1	chr2	145872209	145931146
AC079296.1	chr11	9004093	9067776
AC079296.2	chr11	9089283	9090456
AC079298.1	chr4	154235980	154237598
AC079298.2	chr4	154261735	154262193
AC079298.3	chr4	153948718	154300500
AC079304.1	chr2	51977787	52022435
AC079305.2	chr2	177264359	177265515
AC079305.4	chr2	177111036	177212662
AC079310.1	chr12	54682973	54687434
AC079313.1	chr12	54353792	54466985
AC079313.2	chr12	54353661	54497688
AC079322.1	chr15	72465128	72466262
AC079328.2	chr15	63070025	63071911
AC079329.1	chr11	12261426	12263173
AC079331.3	chr17	67658015	67659465
AC079336.1	chr17	32512869	32519350
AC079336.2	chr17	32509954	32523424
AC079336.3	chr17	32529008	32530049
AC079336.4	chr17	32518953	32531492
AC079336.5	chr17	32495536	32500910
AC079340.1	chr4	152146385	152178573
AC079340.2	chr4	152206987	152225870
AC079340.3	chr4	152113857	152116497
AC079341.1	chr4	121764585	121766814
AC079341.2	chr4	121870583	121872848
AC079349.1	chr4	167306910	167308789
AC079354.2	chr2	202178660	202179391
AC079354.3	chr2	202137570	202149627
AC079360.1	chr12	121856259	121857059
AC079362.1	chr12	78448995	78540675
AC079380.1	chr4	133871246	134010690
AC079382.2	chr3	106367979	106427977
AC079384.1	chr12	116368764	116389471
AC079384.2	chr12	116357578	116359096
AC079385.1	chr12	106495958	106774926
AC079385.2	chr12	106678583	106684707
AC079385.3	chr12	106714924	106733066
AC079411.1	chr16	56192614	56194518
AC079414.1	chr16	78014683	78059454
AC079414.3	chr16	78123243	78124332
AC079460.2	chr12	38155476	38167631
AC079465.1	chr5	113323028	113437174
AC079466.1	chr19	28606688	28615229
AC079466.2	chr19	28602379	28648303
AC079467.1	chr5	67463809	67475592
AC079584.1	chr2	143799467	143819599
AC079584.2	chr2	143765940	143776119
AC079598.1	chr12	87816486	87817831
AC079600.3	chr12	42485353	42498979
AC079601.2	chr12	42459366	42466128
AC079610.1	chr2	213152970	213153659
AC079610.2	chr2	213266995	213276152
AC079612.1	chr2	239578301	239586094
AC079612.2	chr2	239625698	239630839
AC079684.2	chr12	42361267	42361703
AC079742.1	chr7	6578565	6588974
AC079753.2	chr2	112817076	112824457
AC079760.1	chr7	91380778	91556848
AC079760.2	chr7	91311368	91515427
AC079763.1	chr7	52165235	52192913
AC079766.1	chr4	182881777	182882203
AC079768.2	chr4	169921417	169923442
AC079768.3	chr4	169849053	169867346
AC079768.4	chr4	169912705	169919663
AC079772.1	chr4	33467398	33693993
AC079776.4	chr2	129990456	130028412
AC079776.5	chr2	129877896	129884441
AC079779.1	chr2	197569	209892
AC079779.2	chr2	286419	301515
AC079779.3	chr2	290941	314373
AC079779.4	chr2	307683	309424
AC079781.5	chr7	97851688	97972985
AC079790.1	chr2	152098328	152109202
AC079790.2	chr2	152176020	152225211
AC079793.1	chr2	143295421	143598002
AC079799.1	chr7	83355154	83362266
AC079801.1	chr21	5232668	5243833
AC079804.3	chr7	6952625	7104482
AC079807.1	chr2	47905678	47907810
AC079822.1	chr3	167794947	167811081
AC079834.2	chr2	221572506	221574454
AC079841.2	chr3	121394772	121431198
AC079848.1	chr3	126083659	126095349
AC079848.2	chr3	126213204	126247714
AC079851.1	chr12	105699168	105703520
AC079858.1	chr4	168647896	168648587
AC079866.2	chr12	63878787	63879474
AC079896.1	chr2	81983272	82005700
AC079906.1	chr12	46970504	46972155
AC079907.1	chr12	102063355	102074820
AC079907.2	chr12	101954992	101962414
AC079910.1	chr3	163455568	163479500
AC079915.1	chr17	31133182	31138518
AC079921.1	chr4	39066974	39182258
AC079921.2	chr4	39133913	39135608
AC079922.2	chr2	112641832	112645720
AC079942.1	chr3	133015004	133037052
AC079943.1	chr3	157976561	157978136
AC079943.2	chr3	157814822	158088997
AC079949.1	chr12	127142029	127146532
AC079949.2	chr12	127147149	127150081
AC079949.3	chr12	127130005	127207706
AC079949.5	chr12	127146535	127151330
AC079949.6	chr12	127149955	127161259
AC079950.1	chr12	45475520	45610620
AC079988.1	chr2	121178327	121182580
AC080005.1	chr3	128563316	128564431
AC080011.1	chr12	60092864	60096071
AC080013.1	chr3	158732263	158784070
AC080013.3	chr3	158782547	158783124
AC080013.4	chr3	158693120	158693768
AC080013.5	chr3	158801257	158801935
AC080013.6	chr3	158695367	158695581
AC080023.1	chr11	10302657	10303704
AC080037.2	chr17	72642731	72644490
AC080038.2	chr17	62626437	62627590
AC080038.3	chr17	62626031	62626453
AC080068.1	chr7	20959391	21028813
AC080075.1	chr2	203328459	203329226
AC080078.1	chr4	152308283	152309983
AC080078.2	chr4	152317902	152318364
AC080079.2	chr4	165647636	165757667
AC080089.2	chr4	119686538	119693563
AC080097.2	chr3	106684388	106691320
AC080112.2	chr17	40360655	40364693
AC080112.5	chr17	40317698	40318676
AC080128.2	chr3	133799440	133806139
AC080129.1	chr3	194091561	194109174
AC080129.2	chr3	194130616	194131201
AC080132.1	chr4	43763134	43972184
AC080162.1	chr2	9501466	9512413
AC080188.1	chr4	168828919	168832937
AC082650.1	chr4	129299175	129305022
AC082650.2	chr4	129362911	129377504
AC082651.1	chr2	9638745	9712920
AC082651.3	chr2	9757496	9770341
AC082651.4	chr2	9671875	9708413
AC083795.2	chr4	111632172	111648962
AC083798.2	chr3	122416207	122443180
AC083799.1	chr3	129847048	129847957
AC083801.2	chr3	182739669	182740848
AC083805.1	chr12	57869834	57896482
AC083805.2	chr12	57837092	57842745
AC083805.3	chr12	57894232	57896846
AC083806.2	chr12	116948738	116951422
AC083806.3	chr12	116801023	116801477
AC083809.1	chr12	70570969	70571440
